,id,title,content,cluster
94175,104849,營收：創業家(8477)6月營收4億1605萬元，月增率2.57%，年增率8.50%,創業家(8477)自結107年6月營收4億1605萬7000元，和上個月的4億562萬元相較，增加金額為1043萬7000元，較上月增加2.57%，和106年同月的3億8347萬9000元相較，增加金額為3257萬8000元，較106年同月增加8.50%。<BR> 累計107年1-6月營收24億4868萬2000元，和106年同期的17億2038萬1000元相較，增加金額為7億2830萬1000元，較106年同期增加42.33%。,6
94176,104850,營收：健椿(4561)6月營收1億1383萬元，續創新高，月增率7.15%，年增率32.58%,健椿(4561)自結107年6月營收1億1383萬9000元，續創新高，和上個月的1億623萬5000元相較，增加金額為760萬4000元，較上月增加7.15%，和106年同月的8586萬5000元相較，增加金額為2797萬4000元，較106年同月增加32.58%。<BR> 累計107年1-6月營收5億4832萬8000元，和106年同期的4億2803萬9000元相較，增加金額為1億2028萬9000元，較106年同期增加28.10%。,6
94183,104857,營收：信邦(3023)6月營收14億258萬元續創新高，月增率6.24%，年增率16.54%,信邦電子(3023)自結107年6月營收14億258萬1000元續創新高，和上個月的13億2019萬元相較，增加金額為8239萬1000元，較上月增加6.24%，和106年同月的12億351萬元相較，增加金額為1億9907萬1000元，較106年同月增加16.54%。<BR> 累計107年1-6月營收75億4367萬8000元，和106年同期的66億2980萬9000元相較，增加金額為9億1386萬9000元，較106年同期增加13.78%。,6
94190,104864,茂訊 107年6月營收2.18億、年增7.58%,"茂訊(3213)6月營收資料(單位千元) 當月本年累計營收217,6311,055,060去年同期202,2921,112,914增減15,339-57,854增減百分比7.58%-5.20% 備註:本月外銷營業淨收入74,483仟元",6
94203,104877,營收：勝一(1773)6月營收7億886萬元，月增率-4.11%，年增率34.91%,勝一(1773)自結107年6月營收7億886萬3000元，和上個月的7億3924萬9000元相較，減少金額為3038萬6000元，較上月減少4.11%，和106年同月的5億2544萬6000元相較，增加金額為1億8341萬7000元，較106年同月增加34.91%。<BR> 累計107年1-6月營收38億9451萬3000元，和106年同期的33億2929萬6000元相較，增加金額為5億6521萬7000元，較106年同期增加16.98%。,6
94205,104879,營收：太子(2511)6月營收7億2676萬元，月增率9.18%，年增率18.73%,太子(2511)自結107年6月營收7億2676萬7000元，和上個月的6億6564萬8000元相較，增加金額為6111萬9000元，較上月增加9.18%，和106年同月的6億1210萬元相較，增加金額為1億1466萬7000元，較106年同月增加18.73%。<BR> 累計107年1-6月營收39億8103萬7000元，和106年同期的37億8876萬6000元相較，增加金額為1億9227萬1000元，較106年同期增加5.07%。,6
94212,104886,勝一 107年6月營收7.09億、年增34.91%,"勝一(1773)6月營收資料(單位千元) 當月本年累計營收708,8633,894,513去年同期525,4463,329,296增減183,417565,217增減百分比34.91%16.98%",6
94213,104887,太子 107年6月營收7.27億、年增18.73%,"太子(2511)6月營收資料(單位千元) 當月本年累計營收726,7673,981,037去年同期612,1003,788,766增減114,667192,271增減百分比18.73%5.07%",6
94214,104888,營收：國化(1713)6月營收5545萬元，月增率-25.71%，年增率5.12%,國化(1713)自結107年6月營收5545萬8000元，和上個月的7465萬4000元相較，減少金額為1919萬6000元，較上月減少25.71%，和106年同月的5275萬8000元相較，增加金額為270萬元，較106年同月增加5.12%。<BR> 累計107年1-6月營收3億5598萬5000元，和106年同期的3億1201萬3000元相較，增加金額為4397萬2000元，較106年同期增加14.09%。,6
94218,104892,國化 107年6月營收5545萬、年增5.12%,"國化(1713)6月營收資料(單位千元) 當月本年累計營收55,458355,985去年同期52,758312,013增減2,70043,972增減百分比5.12%14.09%",6
